rule_id	scope	rule	baseline_name	lean_refs	java_refs	test_refs	status	notes
R0-REL-008	PRODUCTION	Left-nested difference accumulates removed operands by union		docs/section3-repair-audit/formal/Phase5SourceRules.lean#left_nested_difference_accumulates_union;docs/section3-repair-audit/formal/Phase5SourceRules.lean#right_nested_difference_is_not_left_nested	src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedLeftNestedDifference	src/is/fivefivefive/CanDis/EGraphSaturationTest.java#testNestedDifferenceRequiresParserAuthority	PROVED_AND_CONNECTED	Right nesting is explicitly not reassociated by this rule.
R0-REL-009	PRODUCTION	Right-nested difference expands into retained difference plus restored intersection		docs/section3-repair-audit/formal/Phase5SourceRules.lean#right_nested_difference_expands	src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedRightNestedDifference	src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#checkCertifiedRelationalFactoring	PROVED_AND_CONNECTED	Exact relation occurrence evidence is required.
R0-REL-010	PRODUCTION	Intersection extracts and combines relational differences		docs/section3-repair-audit/formal/Phase5SourceRules.lean#intersection_extracts_difference;docs/section3-repair-audit/formal/Phase5SourceRules.lean#intersection_of_differences_accumulates_removed;docs/section3-repair-audit/formal/Phase5SourceRules.lean#intersection_of_three_differences_accumulates_removed	src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedIntersectionDifferenceExtraction	src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#checkCertifiedRelationalFactoring	PROVED_AND_CONNECTED	Every removed operand is retained in the result.
R0-REL-011	PRODUCTION	Product difference factors only one differing coordinate		docs/section3-repair-audit/formal/Phase5SourceRules.lean#relation_product_difference_left_coordinate;docs/section3-repair-audit/formal/Phase5SourceRules.lean#relation_product_difference_right_coordinate;docs/section3-repair-audit/formal/Phase5SourceRules.lean#relation_product3_difference_middle_coordinate;docs/section3-repair-audit/formal/Phase5SourceRules.lean#two_coordinate_product_difference_does_not_factor	src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedProductDifferenceFactoring	src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#checkCertifiedRelationalFactoring	PROVED_AND_CONNECTED	Multiple-coordinate differences remain explicit.
R0-REL-012	PRODUCTION	Domain and range restrictions distribute through their relation and restrictor lattices		docs/section3-repair-audit/formal/Phase5SourceRules.lean#domain_restriction_relation_union;docs/section3-repair-audit/formal/Phase5SourceRules.lean#domain_restriction_relation_intersection;docs/section3-repair-audit/formal/Phase5SourceRules.lean#domain_restriction_restrictor_union;docs/section3-repair-audit/formal/Phase5SourceRules.lean#domain_restriction_restrictor_intersection;docs/section3-repair-audit/formal/Phase5SourceRules.lean#range_restriction_relation_union;docs/section3-repair-audit/formal/Phase5SourceRules.lean#range_restriction_relation_intersection;docs/section3-repair-audit/formal/Phase5SourceRules.lean#range_restriction_restrictor_union;docs/section3-repair-audit/formal/Phase5SourceRules.lean#range_restriction_restrictor_intersection;docs/section3-repair-audit/formal/Phase5SourceRules.lean#complete_restriction_union_grid_factors;docs/section3-repair-audit/formal/Phase5SourceRules.lean#diagonal_restriction_union_does_not_factor	src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedRestrictionLatticeFactoring	src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#checkCertifiedRelationalFactoring	PROVED_AND_CONNECTED	Diagonal coordinate combinations do not factor.
R0-REL-013	PRODUCTION	Restriction and difference factor only in their sound coordinate laws		docs/section3-repair-audit/formal/Phase5SourceRules.lean#domain_restriction_relation_difference;docs/section3-repair-audit/formal/Phase5SourceRules.lean#domain_restriction_restrictor_difference;docs/section3-repair-audit/formal/Phase5SourceRules.lean#range_restriction_relation_difference;docs/section3-repair-audit/formal/Phase5SourceRules.lean#range_restriction_restrictor_difference;docs/section3-repair-audit/formal/Phase5SourceRules.lean#two_coordinate_restriction_difference_does_not_factor	src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedRestrictionDifferenceFactoring	src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#checkCertifiedRelationalFactoring	PROVED_AND_CONNECTED	Multi-coordinate difference is an explicit barrier.
R0-REL-014	PRODUCTION	Nested same-side restrictions intersect and opposite sides commute		docs/section3-repair-audit/formal/Phase5SourceRules.lean#nested_domain_restrictions_intersect;docs/section3-repair-audit/formal/Phase5SourceRules.lean#nested_range_restrictions_intersect;docs/section3-repair-audit/formal/Phase5SourceRules.lean#domain_and_range_restrictions_commute	src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedNestedRestriction	src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#checkCertifiedRelationalFactoring	PROVED_AND_CONNECTED	Coordinate roles remain explicit.
R0-REL-015	PRODUCTION	Converse reverses JOIN order and transposes every operand		docs/section3-repair-audit/formal/Phase5SourceRules.lean#converse_reverses_relation_join;docs/section3-repair-audit/formal/Phase5SourceRules.lean#converse_join_same_order_is_not_general	src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedTransposeJoinReversal	src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#main	PROVED_AND_CONNECTED	Preserving source order is a proved counterexample.
R0-REL-016	PRODUCTION	Converse commutes with transitive and reflexive-transitive closure		docs/section3-repair-audit/formal/Phase5SourceRules.lean#converse_transitive_closure;docs/section3-repair-audit/formal/Phase5SourceRules.lean#converse_reflexive_transitive_closure	src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedTransposeClosureCommutation	src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#main	PROVED_AND_CONNECTED	Closure kind is preserved.
R0-REL-017	PRODUCTION	Converse swaps domain and range restriction		docs/section3-repair-audit/formal/Phase5SourceRules.lean#transpose_domain_restriction_is_range_restriction;docs/section3-repair-audit/formal/Phase5SourceRules.lean#transpose_range_restriction_is_domain_restriction	src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedTransposeRestrictionSwap	src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#main	PROVED_AND_CONNECTED	The unswapped coordinate is not admitted.
R0-REL-018	PRODUCTION	Restriction by a full endpoint is identity and an empty coordinate is zero		docs/section3-repair-audit/formal/Phase5SourceRules.lean#domain_restriction_univ_identity;docs/section3-repair-audit/formal/Phase5SourceRules.lean#range_restriction_univ_identity;docs/section3-repair-audit/formal/Phase5SourceRules.lean#domain_restriction_empty_restrictor;docs/section3-repair-audit/formal/Phase5SourceRules.lean#range_restriction_empty_restrictor;docs/section3-repair-audit/formal/Phase5SourceRules.lean#domain_restriction_empty_relation;docs/section3-repair-audit/formal/Phase5SourceRules.lean#range_restriction_empty_relation	src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedRestrictionIdentityOrZero	src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#main	PROVED_AND_CONNECTED	Full-carrier authority must be parser certified.
R0-REL-019	PRODUCTION	Endpoint and internal JOIN restrictions move only to their proved coordinates		docs/section3-repair-audit/formal/Phase5SourceRules.lean#join_lifts_left_endpoint_domain_restriction;docs/section3-repair-audit/formal/Phase5SourceRules.lean#join_lifts_right_endpoint_range_restriction;docs/section3-repair-audit/formal/Phase5SourceRules.lean#join_transfers_internal_range_to_domain_restriction;docs/section3-repair-audit/formal/Phase5SourceRules.lean#unary_left_restriction_stays_on_join_boundary;docs/section3-repair-audit/formal/Phase5SourceRules.lean#unary_right_range_or_domain_guard_has_same_join	src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedJoinRestrictionNormalization	src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#main	PROVED_AND_CONNECTED	Exact arity determines whether a coordinate survives composition.
R0-REL-020	PRODUCTION	Reflexive subset equality and explicit negations fold under certified operand identity		docs/section3-repair-audit/formal/Phase5SourceRules.lean#relation_subset_reflexive;docs/section3-repair-audit/formal/Phase5SourceRules.lean#relation_equality_reflexive;docs/section3-repair-audit/formal/Phase5SourceRules.lean#relation_not_subset_self_is_false;docs/section3-repair-audit/formal/Phase5SourceRules.lean#relation_inequality_self_is_false	src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedReflexiveComparison	src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#main	PROVED_AND_CONNECTED	Surface spelling alone cannot establish identity.
R0-REL-021	PRODUCTION	Structural subset closes union injection intersection difference and restriction projection		docs/section3-repair-audit/formal/Phase5SourceRules.lean#subset_union_left;docs/section3-repair-audit/formal/Phase5SourceRules.lean#intersection_subset_left;docs/section3-repair-audit/formal/Phase5SourceRules.lean#difference_subset_left;docs/section3-repair-audit/formal/Phase5SourceRules.lean#domain_restriction_subset_relation;docs/section3-repair-audit/formal/Phase5SourceRules.lean#range_restriction_subset_relation;docs/section3-repair-audit/formal/Phase5SourceRules.lean#subset_transitive	src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedStructuralSubsetComparison	src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#main	PROVED_AND_CONNECTED	Every recursive step retains equal arity and authority.
R0-REL-022	PRODUCTION	Subset over union-left and intersection-right expands conjunctively with exact negated duals		docs/section3-repair-audit/formal/Phase5SourceRules.lean#union_subset_iff;docs/section3-repair-audit/formal/Phase5SourceRules.lean#subset_intersection_iff;docs/section3-repair-audit/formal/Phase5SourceRules.lean#union_not_subset_iff;docs/section3-repair-audit/formal/Phase5SourceRules.lean#not_subset_intersection_iff;docs/section3-repair-audit/formal/Phase5SourceRules.lean#subset_union_does_not_split_disjunctively	src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedSubsetLatticeExpansion	src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#main	PROVED_AND_CONNECTED	Unsound opposite disjunctions remain explicit.
R0-REL-023	PRODUCTION	Subset of typed none becomes NO and its negation becomes SOME		docs/section3-repair-audit/formal/Phase5SourceRules.lean#subset_none_iff_no_members;docs/section3-repair-audit/formal/Phase5SourceRules.lean#not_subset_none_iff_some_member	src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedEmptyRightSubsetExpansion	src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#main	PROVED_AND_CONNECTED	Both operands require the same parser-certified relation arity.
R0-REL-024	PRODUCTION	A structurally contained union or intersection operand is absorbed		docs/section3-repair-audit/formal/Phase5SourceRules.lean#subset_union_absorption;docs/section3-repair-audit/formal/Phase5SourceRules.lean#subset_intersection_absorption	src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedStructuralLatticeAbsorption	src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#main	PROVED_AND_CONNECTED	Union removes the smaller operand and intersection removes the larger.
R0-REL-025	PRODUCTION	A difference intersects every subrelation of its removed side to none		docs/section3-repair-audit/formal/Phase5SourceRules.lean#difference_disjoint_from_removed_subrelation	src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedDifferenceDisjointness	src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#main	PROVED_AND_CONNECTED	The subrelation proof is structural and typed.
R0-REL-026	PRODUCTION	Difference and its retained partition recombine to the original relation		docs/section3-repair-audit/formal/Phase5SourceRules.lean#difference_partition_recombines;docs/section3-repair-audit/formal/Phase5SourceRules.lean#difference_subrelation_partition_recombines	src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedDifferencePartitionRecombination	src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#main	PROVED_AND_CONNECTED	Unrelated variadic siblings are retained.
R0-REL-027	PRODUCTION	Difference normalizes superrelation intersection and restored-difference partitions		docs/section3-repair-audit/formal/Phase5SourceRules.lean#difference_of_superrelation_is_none;docs/section3-repair-audit/formal/Phase5SourceRules.lean#difference_intersection_removal;docs/section3-repair-audit/formal/Phase5SourceRules.lean#difference_of_difference_restores_intersection	src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedDifferencePartitionNormalization	src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#main	PROVED_AND_CONNECTED	The result type must match the source occurrence.
R0-REL-028	PRODUCTION	Emptiness and nonemptiness of difference are exact subset duals		docs/section3-repair-audit/formal/Phase5SourceRules.lean#no_difference_iff_subset;docs/section3-repair-audit/formal/Phase5SourceRules.lean#some_difference_iff_not_subset	src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedDifferenceCardinalityExpansion;src/is/fivefivefive/CanDis/core/NormalForm.java#normalizeRelationalUnaryAndIdentityRules	src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#main	PROVED_AND_CONNECTED	Restrictions are rebuilt on both coordinates before comparison.
R0-REL-029	PRODUCTION	Unary domain and range restrictions coincide and orient to DOMAIN		docs/section3-repair-audit/formal/Phase5SourceRules.lean#unary_domain_and_range_restriction_coincide;docs/section3-repair-audit/formal/Phase5SourceRules.lean#binary_domain_and_range_restriction_do_not_generally_coincide	src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedUnaryRestrictionOrientation	src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#main	PROVED_AND_CONNECTED	Higher arity preserves distinct coordinate roles.
R0-REL-030	PRODUCTION	Converse and closure of exact empty binary relations normalize to typed empty or iden		docs/section3-repair-audit/formal/Phase5SourceRules.lean#converse_empty_binary_relation;docs/section3-repair-audit/formal/Phase5SourceRules.lean#transitive_closure_empty_relation;docs/section3-repair-audit/formal/Phase5SourceRules.lean#reflexive_transitive_closure_empty_relation	src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedEmptyRelationalUnaryIdentity	src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#main	PROVED_AND_CONNECTED	The result retains exact binary arity.
R0-REL-031	PRODUCTION	Complete abstract-signature unions recover their certified carrier		docs/section3-repair-audit/formal/Phase5SourceRules.lean#abstract_direct_extension_cover;docs/section3-repair-audit/formal/Phase5SourceRules.lean#abstract_single_extension_cover;docs/section3-repair-audit/formal/Phase5SourceRules.lean#nested_abstract_extension_cover;docs/section3-repair-audit/formal/Phase5SourceRules.lean#missing_abstract_branch_does_not_cover_parent	src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedAbstractUnionCarrier	src/is/fivefivefive/CanDis/MASGVisitorTypeRegressionTest.java#checkAbstractSignatureCovers	PROVED_AND_CONNECTED	Every direct abstract extension branch must be present.
R0-REL-032	PRODUCTION	Full signature carriers absorb only parser-certified subrelations		docs/section3-repair-audit/formal/Phase5SourceRules.lean#subrelation_union_full_carrier_is_carrier;docs/section3-repair-audit/formal/Phase5SourceRules.lean#subrelation_intersection_full_carrier_is_subrelation;docs/section3-repair-audit/formal/Phase5SourceRules.lean#common_static_carrier_does_not_make_a_subrelation_full	src/is/fivefivefive/CanDis/core/EGraphNode.java#parserCertifiedDominantSignature;src/is/fivefivefive/CanDis/core/NormalForm.java#removeSubrelationsCoveredByFullCarriers;src/is/fivefivefive/CanDis/core/NormalForm.java#removeFullCarriersContainingSubrelations	src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#checkCertifiedFullCarrierAbsorption	PROVED_AND_CONNECTED	A common type label is insufficient.
R0-REL-033	PRODUCTION	Identity JOIN transpose and closure fixed points normalize under exact identity authority		docs/section3-repair-audit/formal/Phase5SourceRules.lean#identity_relation_join_left;docs/section3-repair-audit/formal/Phase5SourceRules.lean#identity_relation_join_right;docs/section3-repair-audit/formal/Phase5SourceRules.lean#transpose_identity_relation;docs/section3-repair-audit/formal/Phase5SourceRules.lean#transpose_relation_involutive;docs/section3-repair-audit/formal/Phase5SourceRules.lean#transitive_closure_identity_relation;docs/section3-repair-audit/formal/Phase5SourceRules.lean#reflexive_transitive_closure_identity_relation;docs/section3-repair-audit/formal/Phase5SourceRules.lean#transitive_closure_idempotent;docs/section3-repair-audit/formal/Phase5SourceRules.lean#reflexive_transitive_closure_idempotent	src/is/fivefivefive/CanDis/core/EGraphNode.java#saturateRelationalUnaryRule;src/is/fivefivefive/CanDis/core/NormalForm.java#normalizeRelationalUnaryAndIdentityRules	src/is/fivefivefive/CanDis/MASGVisitorTypeRegressionTest.java#checkRelationalUnaryIdentities	PROVED_AND_CONNECTED	Forged iden spellings are excluded.
R0-REL-034	PRODUCTION	ARROW and JOIN with an exact empty operand produce an arity-preserving empty relation		docs/section3-repair-audit/formal/Phase5SourceRules.lean#empty_relation_product_left;docs/section3-repair-audit/formal/Phase5SourceRules.lean#empty_relation_product_right;docs/section3-repair-audit/formal/Phase5SourceRules.lean#empty_relation_join_left;docs/section3-repair-audit/formal/Phase5SourceRules.lean#empty_relation_join_right	src/is/fivefivefive/CanDis/core/EGraphNode.java#saturateOnce;src/is/fivefivefive/CanDis/core/NormalForm.java#normalizeGuardedSourceRules	src/is/fivefivefive/CanDis/CanonicalAlloyPipelineTest.java#checkEmptyRelationArity	PROVED_AND_CONNECTED	Nullary and wrong-arity empties are outside the rule.
